instruction,input,output,source
"Tell me about Puyi, the Last Emperor of China.",,"10 Facts about Puyi You Didn't Know, the Last Emperor of China",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
What do you know about Puyi?,,Puyi was the last emperor of China. His life was full of ups and downs. He led a special life in China's turbulent era of change — from emperor to citizen. The following facts will help you better understand the Last Emperor.,https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Provide information about the Last Emperor of China.,,1. Puyi was the only emperor to be enthroned 3 times.,https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Explain who Puyi was.,,"Puyi was the last emperor three times, but was not in power even for a day! Puyi was ""the puppet emperor"".",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Share facts about Emperor Puyi.,,"From 1908 to 1912 was Puyi's first ""reign"", over the Qing Dynasty as Emperor Xuantong. His father Zaifeng was actually in power as Prince Regent.",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Describe Puyi's life and reign.,,"Puyi was the youngest emperor at only 2. He was appointed by the dying Empress Dowager Cixi. Emperor Guangxu had no heirs, and Puyi was Guangxu's nephew.",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
What can you tell me about the Last Emperor?,,"The reason Puyi was chosen by Cixi was that it would be easy for her to continue to rule China (behind the screens), as he was just a toddler. She never thought that she'd die the day before Puyi's enthronement.",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Give me details about Puyi.,,"The Revolution of 1911 established a republic, and Puyi announced his abdication in 1912, ending the imperial era. Although Puyi was no longer the emperor any more, he was allowed to live in the Forbidden City.",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Who was Puyi?,,"In 1917, Puyi was restored to the throne by the warlord Zhang Xun, a Qing Dynasty loyalist general. The restoration of the Qing Dynasty lasted only 12 days.",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
What is the story of China's last emperor?,,"In 1924, Puyi fled from the Forbidden City to the Tianjin concession where he enjoyed special treatment. Foreign consuls and generals still called him emperor there, celebrated his birthday, and invited him to participate in a variety of celebrations. This feeling of being treated regally made Puyi more eager to become emperor again.",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Explain the life of Puyi.,,"Meanwhile, the Japanese wanted to build a puppet Manchukuo regime after occupying northeast China. Puyi was their best choice. When they offered Puyi the chance to be emperor of Manchukuo (1932–1945), he immediately agreed.",https://www.chinahighlights.com/travelguide/china-history/puyi.htm
Tell me about China's last emperor.,,2. Puyi's abdication was the end of imperial China.,https://www.chinahighlights.com/travelguide/china-history/puyi.htm
